,Ticker
235,IRM
236,CI
237,JPM
238,ON
239,VRTX
240,MCK
241,CHD
242,EL
243,MSI
244,DPZ
245,MOS
246,INVH
247,AVGO
248,WST
249,MPWR
250,HD
251,VMC
252,MET
253,FTNT
254,WAT
255,AXP
256,XYL
257,CBOE
258,APA
259,MRNA
260,JNJ
261,STE
262,FDS
263,ROP
264,BG
265,BLK
266,T
267,FANG
268,HAL
269,A
270,EXC
271,META
272,ICE
273,TYL
274,AEP
275,DIS
276,MO
277,MOH
278,CHRW
279,QCOM
280,ADM
281,STZ
282,TDY
283,IVZ
284,RMD
285,CE
286,DECK
287,TFC
288,VZ
289,MCO
290,SNPS
291,PEP
292,DGX
293,AFL
294,CMS
295,VLO
296,CZR
297,DLTR
298,SYY
299,AKAM
300,TXT
301,TSN
302,D
303,TPR
304,SWK
305,DELL
306,APO
307,ADI
308,HON
309,WDAY
310,ISRG
311,MSFT
312,ADBE
313,ENPH
314,CMCSA
315,ABT
316,EXPE
317,FAST
318,EOG
319,YUM
320,PHM
321,IP
322,VRSK
323,HCA
324,ERIE
325,BBY
326,BKNG
327,LYV
328,RCL
329,PNW
330,BR
331,URI
332,L
333,GL
334,BK
335,ULTA
336,ZTS
337,EIX
338,UNH
339,ECL
340,CNC
341,ARE
342,KEYS
343,TGT
344,GRMN
345,AZO
346,HWM
347,WMT
348,JBL
349,BA
350,PPG
351,FOX
352,RJF
353,HBAN
354,NDSN
355,KKR
356,PWR
357,FRT
358,TECH
359,APTV
360,OKE
361,LH
362,GWW
363,FDX
364,DHR
365,ITW
366,JCI
367,MMM
368,ADSK
369,BX
370,LIN
371,PFE
372,AMT
373,KR
374,PAYX
375,IR
376,LVS
377,LULU
378,MAA
379,SBUX
380,CL
381,CVX
382,PAYC
383,PLD
384,EXPD
385,NXPI
386,GS
387,BLDR
388,MHK
389,CINF
390,MGM
391,AMZN
392,AVB
393,AMD
394,CDNS
395,KMI
396,PYPL
397,UNP
398,MRK
399,LMT
400,ORCL
401,IBM
402,DTE
403,EW
404,MNST
405,ODFL
406,LII
407,CTAS
408,BWA
409,DOC
410,GILD
411,MTCH
412,SMCI
413,PSX
414,ALLE
415,BRO
416,SHW
417,NVDA
418,OXY
419,SYK
420,TRMB
421,ACN
422,WM
423,HUBB
424,VRSN
425,ROK
426,AMAT
427,TMUS
428,NEM
429,ROL
430,GLW
431,WRB
432,CSX
433,JKHY
434,SO
435,ZBH
436,EVRG
437,UPS
438,AME
439,OMC
440,IFF
441,KMB
442,CTSH
443,LYB
444,UAL
445,CPT
446,ROST
447,FMC
448,NKE
449,EQT
450,GPN
451,V
452,WEC
453,BEN
454,CRM
455,INTC
456,NOW
457,PRU
458,CBRE
459,IQV
460,ANSS
461,LLY
462,PNR
463,CCI
464,LDOS
465,K
466,GEN
467,MTB
468,MKC
469,SRE
470,FIS
471,SYF
472,SCHW
473,BAC
474,CARR
475,ABNB
476,COP
477,AOS
478,SLB
479,PANW
480,VST
481,WYNN
482,BKR
483,XEL
484,GD
485,DE
486,CMG
487,ALB
488,NI
489,CPB
